Model,CV Accuracy (mean),CV Accuracy (std),CV F1-Macro (mean),CV F1-Macro (std),Test Accuracy,Test Precision,Test Recall,Test F1 (weighted),Test F1 (macro),Training Time (s)
Gradient Boosting,0.8158,0.0062,0.8151,0.0064,0.8135,0.8145,0.8135,0.8128,0.8128,12.865
Random Forest,0.8032,0.0067,0.8024,0.0066,0.797,0.7973,0.797,0.7963,0.7963,6.612
Neural Network,0.7921,0.008,0.7912,0.0091,0.7945,0.7996,0.7945,0.7943,0.7943,128.511
Hist Gradient Boosting,0.7966,0.0071,0.7959,0.0072,0.7885,0.7892,0.7885,0.7876,0.7876,12.948
Extra Trees,0.7432,0.0092,0.7413,0.0101,0.755,0.7551,0.755,0.7541,0.7541,6.908
